Cell_ID,GAPDH,ACTB,IL8,IL6,CCL11,COL1A1,NANOG,SOX9,EEF2,SPP1,RUNX1,PDL1
exp1_bm_001_1,2111,2114,9,130,9,1385,2,32,1146,33,77,4
exp1_bm_003_1,1012,1176,8,65,3,2420,6,21,928,16,119,11
exp1_bm_003_2,611,802,14,49,4,393,0,7,484,11,16,0
exp1_bm_003_3,887,944,11,43,2,1654,1,22,985,76,87,4
exp1_bm_004_1,1521,2222,41,102,17,1554,3,76,989,30,95,7
exp1_bm_005_1,1782,2098,9,75,4,2165,5,29,1045,16,82,5
exp1_bm_005_2,1521,1680,7,44,4,723,3,36,636,8,72,4
exp1_bm_005_3,1251,633,14,57,1,1420,4,151,849,4,165,0
exp1_bm_005_4,1123,1053,5,58,3,1533,1,19,710,12,74,5
exp1_bm_005_5,1397,1591,6,68,0,609,3,12,599,24,64,2
exp1_bm_006_1,873,785,9,41,4,1274,3,23,747,25,125,6
exp1_bm_006_2,1561,1690,12,163,10,2010,11,98,1188,42,61,3
exp1_bm_007_1,1179,448,1,39,5,2164,7,17,649,42,87,4
exp1_bm_007_2,1492,1539,7,68,9,1650,3,26,695,38,69,11
exp1_bm_008_1,1103,1123,17,40,2,717,0,11,459,34,87,19
exp1_bm_008_2,1477,1293,5,73,2,1848,3,31,868,85,72,20
exp1_bm_009_1,656,496,1,66,0,978,3,13,457,84,74,1
exp1_bm_009_2,1060,1269,9,49,0,1059,4,39,615,26,138,5
exp1_bm_009_3,563,614,1,17,1,1000,3,13,356,13,147,2
exp1_bm_010_1,1245,735,4,76,2,1182,2,36,605,15,125,5
exp1_bm_010_2,1474,1459,9,30,0,2589,5,59,824,32,129,13
exp1_bm_011_1,902,1340,5,36,2,1142,4,18,569,23,45,1
exp1_bm_011_2,1841,1574,14,136,3,2132,14,47,884,33,130,3
exp1_bm_012_1,1047,1061,5,49,1,818,7,16,554,32,52,1
exp1_bm_012_2,1156,1283,5,138,1,548,5,29,639,34,260,5
exp1_bm_013_1,1249,1560,144,67,1,1841,12,21,763,24,261,7
exp1_bm_014_1,1507,1331,1,14,1,687,8,17,450,20,39,3
exp1_bm_014_2,1460,2202,2,21,3,2218,11,60,828,51,92,8
exp1_bm_015_1,1068,1153,4,14,5,2180,13,25,698,139,47,5
exp1_bm_015_2,914,1370,3,7,7,560,2,27,440,27,55,6
exp1_bm_016_1,1659,778,2,14,1,2003,7,47,1118,32,913,4
exp1_bm_016_2,959,1859,2,10,8,575,3,60,443,37,49,8
exp1_bm_017_1,1194,835,2,13,3,1597,0,50,832,44,317,2
exp1_bm_018_1,1662,2019,7,23,8,1544,4,68,1134,98,537,11
exp1_bm_019_1,1322,2111,22,20,4,300,3,31,622,29,45,4
exp1_bm_019_2,523,385,22,13,1,898,4,13,485,8,334,1
exp1_bm_020_1,1264,1936,4,25,7,1677,7,34,756,19,128,13
exp1_bm_021_1,586,1131,0,8,1,188,2,176,541,8,60,2
exp1_bm_021_2,876,1076,11,10,3,824,4,34,677,14,57,4
exp1_bm_021_3,1018,777,5,17,4,648,1,13,683,19,72,6
exp1_bm_022_1,1076,1299,7,4,0,141,1,16,656,5,166,5
exp1_bm_022_2,1469,1870,7,25,5,588,1,9,662,44,67,3
exp1_bm_022_3,1477,1884,8,17,5,114,0,17,698,13,73,5
exp1_bm_022_4,1237,1380,0,34,3,1013,5,6,569,12,70,2
exp1_bm_022_5,994,1277,7,19,5,1650,8,15,593,12,74,7
exp1_bm_023_1,2374,4338,12,221,6,1886,1,27,1396,27,492,10
exp1_bm_023_2,1854,2899,43,55,11,1449,7,41,1043,14,223,9
exp1_bm_024_1,1771,2381,14,26,12,719,6,64,857,17,110,11
exp1_bm_024_2,1541,1808,5,12,3,478,2,11,718,11,83,41
exp1_bm_024_3,1187,1730,4,16,2,2064,5,14,808,18,128,6
exp1_bm_025_1,1763,1981,7,21,6,2011,4,26,1050,18,24,6
exp1_bm_025_2,1614,2144,7,18,5,1081,5,28,828,25,136,10
exp1_bm_025_3,1546,2152,30,45,4,1299,28,122,881,17,313,14
exp1_bm_026_1,1714,1647,12,19,8,1770,2,100,849,22,161,13
exp1_bm_026_2,1592,1830,11,30,8,1181,8,18,725,11,222,11
exp1_bm_026_3,1276,1681,4,11,3,1311,4,3,551,8,106,2
exp1_bm_026_4,1203,1165,37,15,3,590,18,35,528,47,258,1
exp1_bm_029_1,1047,1179,9,60,3,1137,5,12,590,4,413,1
