Cell_ID,GAPDH,ACTB,IL8,IL6,CCL11,COL1A1,NANOG,SOX9,EEF2,SPP1,RUNX1,PDL1
exp1_uc_001_1,3078,2064,320,354,43,8253,147,153,2502,62,103,8
exp1_uc_002_1,2194,4549,44,101,16,3993,6,107,1371,128,174,36
exp1_uc_003_1,2534,2396,66,292,43,6318,17,125,1934,34,187,12
exp1_uc_003_2,1884,1282,32,80,20,4168,14,215,1582,72,131,5
exp1_uc_004_1,1675,3708,22,76,14,2986,2,147,1367,41,115,16
exp1_uc_004_2,2493,4585,53,174,15,3361,5,163,1999,56,293,20
exp1_uc_005_1,4236,8708,84,268,55,4808,9,341,3194,82,361,56
exp1_uc_005_2,1513,2010,231,418,47,2866,69,171,1263,22,344,33
exp1_uc_006_1,1962,820,63,388,71,4233,33,159,1620,29,403,11
exp1_uc_007_1,2850,2117,28,216,31,6173,12,215,1924,162,341,27
exp1_uc_008_1,2213,3778,126,75,19,5079,12,90,1439,44,148,20
exp1_uc_011_1,2167,1023,738,657,84,7105,689,313,2458,70,747,14
exp1_uc_011_2,3078,2211,146,137,25,5925,50,146,1612,136,116,11
exp1_uc_012_1,3337,1637,188,193,27,5857,128,121,1929,164,248,6
exp1_uc_013_1,2545,2889,152,59,24,4718,300,268,1426,182,144,16
exp1_uc_014_1,2769,1951,190,211,67,7131,763,142,1986,63,386,12
exp1_uc_014_2,3614,1138,490,1625,31,10996,1334,215,3435,56,780,21
exp1_uc_015_1,2222,2377,95,80,11,3807,93,50,1013,93,105,13
exp1_uc_016_1,1884,414,53,142,15,5534,126,54,1042,68,98,8
exp1_uc_016_2,1508,487,93,195,62,3000,305,24,1059,32,171,29
exp1_uc_017_1,1856,749,260,209,19,6061,79,63,1418,30,120,8
exp1_uc_017_2,1879,1630,121,117,12,4842,175,32,1369,29,174,7
exp1_uc_018_1,1703,124,263,355,5,1459,2,23,1610,39,77,11
exp1_uc_018_2,1609,820,49,192,17,2549,6,48,1159,33,89,13
exp1_uc_019_1,2065,823,193,215,15,4292,65,231,1589,459,203,22
exp1_uc_020_1,2104,1778,150,42,17,1299,21,44,492,33,158,12
exp1_uc_021_1,3348,4051,56,208,22,5751,72,148,1938,41,238,25
exp1_uc_022_1,3141,3456,132,133,24,5420,180,108,1807,26,167,31
exp1_uc_023_1,3464,1159,137,251,124,8629,2481,136,2741,71,416,11
exp1_uc_024_1,1770,1318,18,167,14,4109,41,58,1218,14,53,10
exp1_uc_024_2,1794,340,227,117,9,8455,290,136,1366,55,139,4
exp1_uc_025_1,2617,1259,127,149,14,5640,82,75,1666,66,158,7
exp1_uc_026_1,2070,594,157,149,41,6477,830,101,1640,69,315,17
exp1_uc_027_1,3216,2895,463,105,65,8585,116,238,1850,52,118,28
exp1_uc_028_1,1580,247,276,626,18,4625,333,142,938,17,310,11
exp1_uc_028_2,1710,420,1232,1183,72,5090,1722,420,1604,40,939,14
exp1_uc_028_3,1665,561,161,558,60,5803,743,97,1701,109,380,13
exp1_uc_029_1,1399,598,64,542,17,5177,41,80,945,23,394,26
exp1_uc_031_1,2344,647,910,167,46,5914,439,32,1124,18,143,21
exp1_uc_031_2,2325,2119,503,273,19,4414,67,50,1545,21,229,13
exp1_uc_032_1,1727,1238,34,197,43,2209,24,22,993,11,80,19
exp1_uc_033_1,1802,1521,65,55,75,5887,70,31,1425,34,100,33
exp1_uc_034_1,1882,557,300,280,19,12223,1178,205,1628,34,567,29
exp1_uc_034_2,2188,2461,51,146,15,4385,28,12,1250,16,173,58
exp1_uc_039_1,982,418,276,246,43,4455,1583,78,1155,20,254,8
exp1_uc_040_1,3067,2758,279,766,53,7934,193,137,732,53,152,9
exp1_uc_040_2,1781,1087,105,340,17,10152,322,128,1357,68,190,9
exp1_uc_042_1,2343,1057,191,68,9,6381,309,140,2148,50,472,13
exp1_uc_044_1,4275,1347,951,632,63,15209,2344,263,2270,163,157,34
exp1_uc_044_2,1623,758,61,83,33,4982,704,71,1372,35,151,10
exp1_uc_046_1,2875,1972,31,129,14,4086,423,65,940,16,49,52
exp1_uc_046_2,2795,1969,74,52,30,7803,493,128,1606,52,122,16
exp1_uc_047_1,2845,2111,115,76,30,7956,320,160,1617,56,240,31
exp1_uc_047_2,1477,433,319,272,30,3270,713,2,2,1,25,1
exp1_uc_047_3,1476,439,30,21,9,5082,29,17,348,18,129,5
exp1_uc_049_1,2352,783,789,427,46,7498,736,91,1506,103,145,14
exp1_uc_050_1,1914,1035,38,32,17,4527,19,51,1503,93,152,14
exp1_uc_050_2,2527,2204,136,164,38,4058,337,75,1527,68,160,25
exp1_uc_053_1,1562,1011,43,75,10,3237,71,48,1056,23,57,11
exp1_uc_053_2,2382,1150,59,197,15,3311,33,33,1299,18,78,12
exp1_uc_054_1,1091,579,214,216,21,3365,394,35,614,78,181,6
exp1_uc_057_1,1703,1664,50,24,17,2122,13,91,480,26,90,21
exp1_uc_059_1,2607,4885,73,30,18,2777,0,94,1189,88,256,15
exp1_uc_059_2,2235,856,333,366,16,3265,213,140,1065,49,342,19
exp1_uc_063_1,1676,892,65,405,13,3030,46,70,775,55,319,8
exp1_uc_065_1,3139,229,1721,809,109,12527,3419,518,1783,71,978,20
exp1_uc_065_2,1200,226,24,69,12,2343,11,42,694,14,66,20
exp1_uc_066_1,2652,3141,39,16,24,7341,100,67,1771,16,168,20
exp1_uc_067_1,2413,515,42,50,50,3961,173,39,1161,17,131,10
exp1_uc_067_2,2091,1120,116,41,33,4865,330,16,1029,59,95,14
exp1_uc_069_1,2413,3918,116,347,79,15147,1519,44,1071,91,85,14
exp1_uc_069_2,837,723,25,69,20,7153,563,21,259,36,22,13
exp1_uc_076_1,1172,392,22,24,23,5081,426,19,484,32,155,9
exp1_uc_076_2,1511,943,31,33,21,5211,175,8,562,96,43,12
exp1_uc_077_1,1061,1267,85,111,19,6242,2030,21,562,96,56,13
exp1_uc_079_1,1628,1058,268,80,14,11570,364,142,1241,71,277,25
exp1_uc_080_1,1135,158,64,22,17,7427,295,38,504,173,40,14
exp1_uc_083_1,1013,594,85,42,25,3151,98,17,275,16,22,4
exp1_uc_088_1,2487,2129,996,508,50,7353,1320,58,777,59,572,8
exp1_uc_088_2,1589,1364,175,229,40,6847,734,6,28,32,2,0
exp1_uc_091_1,1385,378,19,17,20,1641,0,52,650,27,22,15
